frag_ID,species_long,species,rep,image_no,image_id
H02,Montipora aequituberculata,Maeq,3,2,P8174901
H02,Montipora aequituberculata,Maeq,4,1,P8174902
H02,Montipora aequituberculata,Maeq,4,2,P8174903
H02,Montipora aequituberculata,Maeq,5,1,P8174904
H02,Montipora aequituberculata,Maeq,5,2,P8174905
H02,Montipora aequituberculata,Maeq,6,1,P8174906
H02,Montipora aequituberculata,Maeq,6,2,P8174907
H03,Montipora aequituberculata,Maeq,1,1,P8174909
H03,Montipora aequituberculata,Maeq,1,2,P8174910
H03,Montipora aequituberculata,Maeq,2,1,P8174911
H03,Montipora aequituberculata,Maeq,2,2,P8174912
H03,Montipora aequituberculata,Maeq,3,1,P8174913
H03,Montipora aequituberculata,Maeq,3,2,P8174914
H03,Montipora aequituberculata,Maeq,4,1,P8174915
H03,Montipora aequituberculata,Maeq,4,2,P8174916
H03,Montipora aequituberculata,Maeq,5,1,P8174917
H03,Montipora aequituberculata,Maeq,5,2,P8174918
H03,Montipora aequituberculata,Maeq,6,1,P8174919
H03,Montipora aequituberculata,Maeq,6,2,P8174920
H04,Montipora aequituberculata,Maeq,1,1,P8174922
H04,Montipora aequituberculata,Maeq,1,2,P8174923
H04,Montipora aequituberculata,Maeq,2,1,P8174924
H04,Montipora aequituberculata,Maeq,2,2,P8174925
H04,Montipora aequituberculata,Maeq,3,1,P8174926
H04,Montipora aequituberculata,Maeq,3,2,P8174927
H04,Montipora aequituberculata,Maeq,4,1,P8174928
H04,Montipora aequituberculata,Maeq,4,2,P8174929
H04,Montipora aequituberculata,Maeq,5,1,P8174930
H04,Montipora aequituberculata,Maeq,5,2,P8174931
H04,Montipora aequituberculata,Maeq,6,1,P8174932
H04,Montipora aequituberculata,Maeq,6,2,P8174933
H05,Montipora aequituberculata,Maeq,1,1,P8174935
H05,Montipora aequituberculata,Maeq,1,2,P8174936
H05,Montipora aequituberculata,Maeq,2,1,P8174937
H05,Montipora aequituberculata,Maeq,2,2,P8174938
H05,Montipora aequituberculata,Maeq,3,1,P8174939
H05,Montipora aequituberculata,Maeq,3,2,P8174940
H05,Montipora aequituberculata,Maeq,4,1,P8174941
H05,Montipora aequituberculata,Maeq,4,2,P8174942
H05,Montipora aequituberculata,Maeq,5,1,P8174943
